序号,出发地,抵达地,航班号,航空公司,飞机号,起步价,载客量,头等舱,商务舱,经济舱,起飞机场,降落机场,月,日,星期,时,分,抵达时,抵达分
35,北京,重庆,3U8516,四川航空,A319,2132,124,0,5,69,首都机场,江北机场,1,3,2,6,50,9,50
36,北京,重庆,CA1437,中国国航,B737,2132,159,0,8,0,首都机场,江北机场,5,12,3,7,0,10,0
37,北京,重庆,MU2865,东方航空,A320,2132,158,0,3,2,首都机场,江北机场,8,28,5,8,10,11,10
38,北京,重庆,CZ8102,南方航空,A320,2296,158,0,0,96,首都机场,江北机场,9,19,6,8,25,11,20
39,北京,重庆,G55162,华夏航空,A320,2132,158,0,3,15,首都机场,江北机场,7,25,2,8,25,11,20
40,北京,重庆,OQ2302,重庆航空,A320,2296,158,0,7,112,首都机场,江北机场,3,29,2,8,25,11,20
41,北京,重庆,CA1429,中国国航,B737,1804,159,0,11,26,首都机场,江北机场,10,16,1,9,0,11,55
42,北京,重庆,G54059,华夏航空,B737,2460,159,0,10,86,首都机场,江北机场,9,26,6,9,0,11,55
43,北京,重庆,SC1429,山东航空,B737,1968,159,0,3,137,首都机场,江北机场,2,8,3,9,0,11,55
44,北京,重庆,TV6207,西藏航空,B737,1804,159,0,11,146,首都机场,江北机场,7,12,1,9,0,11,55
45,北京,重庆,ZH1429,深圳航空,B737,1968,159,0,1,123,首都机场,江北机场,1,8,4,9,0,11,55
46,北京,重庆,CA1429,中国国航,B737,1640,159,0,3,60,首都机场,江北机场,7,17,3,9,0,12,5
47,北京,重庆,3U8830,四川航空,JET,1476,20,0,0,5,首都机场,江北机场,12,10,5,10,40,13,45
48,北京,重庆,CZ9920,南方航空,JET,1640,20,0,0,15,首都机场,江北机场,8,23,3,10,40,13,45
49,北京,重庆,SC3034,山东航空,JET,1312,20,0,0,2,首都机场,江北机场,6,21,0,10,40,13,45
50,北京,重庆,CA4130,中国国航,B737,1968,159,0,5,11,首都机场,江北机场,9,23,2,12,0,14,55
51,北京,重庆,CA4130,中国国航,B737,1804,159,0,2,10,首都机场,江北机场,7,17,3,12,0,15,0
52,北京,重庆,CA4138,中国国航,JET,2296,20,0,0,3,首都机场,江北机场,2,2,2,13,0,15,55
53,北京,重庆,G54106,华夏航空,JET,1476,20,0,0,6,首都机场,江北机场,9,15,3,13,0,15,55
54,北京,重庆,SC4138,山东航空,JET,2296,20,0,0,20,首都机场,江北机场,1,20,6,13,0,15,55
55,北京,重庆,TV6204,西藏航空,JET,1476,20,0,0,20,首都机场,江北机场,8,7,5,13,0,15,55
56,北京,重庆,ZH4138,深圳航空,JET,1476,20,0,0,10,首都机场,江北机场,4,16,0,13,0,15,55
57,北京,重庆,CA1439,中国国航,JET,1148,20,0,0,3,首都机场,江北机场,9,1,3,13,25,16,25
58,北京,重庆,CA1439,中国国航,JET,1148,20,0,0,14,首都机场,江北机场,9,30,2,13,55,16,55
59,北京,重庆,CA1439,中国国航,JET,1968,20,0,0,6,首都机场,江北机场,2,9,2,14,0,16,55
60,北京,重庆,CA1411,中国国航,B737,1968,159,0,7,25,首都机场,江北机场,5,17,5,14,50,18,0
61,北京,重庆,NH5785,全日空航空,B737,1476,159,0,7,29,首都机场,江北机场,3,24,0,14,50,18,0
62,北京,重庆,CA1411,中国国航,B737,1148,159,0,1,105,首都机场,江北机场,3,8,2,14,55,18,0
63,北京,重庆,NH5785,全日空航空,B737,1476,159,0,8,47,首都机场,江北机场,8,8,4,14,55,18,0
64,北京,重庆,CA1411,中国国航,B737,2296,159,0,10,68,首都机场,江北机场,5,9,6,15,0,18,0
65,北京,重庆,NH5785,全日空航空,B737,1148,159,0,11,17,首都机场,江北机场,3,15,2,15,0,18,0
66,北京,重庆,3U3003,四川航空,JET,1476,20,0,0,2,首都机场,江北机场,3,8,2,15,20,18,20
67,北京,重庆,CZ3259,南方航空,JET,1640,20,0,0,2,首都机场,江北机场,12,6,2,15,20,18,20
68,北京,重庆,G55007,华夏航空,JET,1804,20,0,0,11,首都机场,江北机场,5,5,3,15,20,18,20
69,北京,重庆,MF1141,厦门航空,JET,1148,20,0,0,18,首都机场,江北机场,12,29,0,15,20,18,20
70,北京,重庆,CA1409,中国国航,B737,1312,159,0,8,118,首都机场,江北机场,7,6,0,16,0,19,0
71,北京,重庆,NH5792,全日空航空,B737,1640,159,0,8,30,首都机场,江北机场,5,29,0,16,0,19,0
72,北京,重庆,3U8832,四川航空,A321,1148,177,0,2,59,首都机场,江北机场,9,23,2,16,50,19,50
73,北京,重庆,CZ9922,南方航空,A321,1476,177,0,6,151,首都机场,江北机场,7,10,3,16,50,19,50
74,北京,重庆,SC3036,山东航空,A321,2296,177,0,1,7,首都机场,江北机场,6,24,4,16,50,19,50
75,北京,大连,HU7105,海南航空,B737,869,159,0,3,116,首都机场,周水子机场,9,22,3,6,50,8,20
76,北京,大连,CZ6132,南方航空,A321,753,177,0,15,105,首都机场,周水子机场,12,20,2,8,5,9,30
77,北京,大连,G55062,华夏航空,A321,405,177,0,13,63,首都机场,周水子机场,1,7,5,8,5,9,30
78,北京,大连,MF1813,厦门航空,A321,869,177,0,15,29,首都机场,周水子机场,1,31,2,8,5,9,30
79,北京,大连,NZ3923,新西兰航空,B737,521,159,0,8,146,首都机场,周水子机场,6,9,5,8,15,9,40
80,北京,大连,CA953,中国国航,B737,405,159,0,11,29,首都机场,T3周水子机场,8,7,5,8,40,10,5
81,北京,大连,NZ3925,新西兰航空,B737,869,159,0,8,97,首都机场,周水子机场,7,1,5,8,40,10,5
82,北京,大连,CA1605,中国国航,B737,695,159,0,4,19,首都机场,周水子机场,1,16,3,9,45,11,15
83,北京,大连,NZ3927,新西兰航空,B737,405,159,0,2,123,首都机场,周水子机场,6,6,1,9,45,11,15
84,北京,大连,CZ6126,南方航空,A321,753,177,0,10,125,首都机场,周水子机场,10,16,1,10,20,11,45
85,北京,大连,MF1807,厦门航空,A321,869,177,0,11,8,首都机场,周水子机场,4,25,5,10,20,11,45
86,北京,大连,CZ6130,南方航空,A321,811,177,0,10,70,首都机场,周水子机场,5,30,6,12,50,14,25
87,北京,大连,MF1811,厦门航空,A321,405,177,0,10,2,首都机场,周水子机场,4,17,6,12,50,14,25
88,北京,大连,CZ6122,南方航空,A321,405,177,0,5,126,首都机场,周水子机场,7,12,1,15,55,17,20
89,北京,大连,MF1803,厦门航空,A321,695,177,0,13,34,首都机场,周水子机场,12,19,3,15,55,17,20
90,北京,大连,NZ3935,新西兰航空,B737,695,159,0,6,34,首都机场,周水子机场,4,3,6,16,40,18,10
91,北京,大连,CZ6134,南方航空,A321,637,177,0,12,43,首都机场,周水子机场,2,4,0,18,20,19,50
92,北京,大连,MF1815,厦门航空,A321,695,177,0,6,52,首都机场,周水子机场,12,25,4,18,20,19,50
93,北京,大连,MU2312,东方航空,A320,695,158,0,7,49,首都机场,周水子机场,4,25,5,20,10,21,35
94,北京,大连,CZ6138,南方航空,A321,463,177,0,7,11,首都机场,周水子机场,8,10,2,21,25,22,55
95,北京,大连,MF1819,厦门航空,A321,869,177,0,14,91,首都机场,周水子机场,6,10,4,21,25,22,55
96,北京,大连,CZ6140,南方航空,A321,463,177,0,8,49,首都机场,周水子机场,5,4,4,22,25,23,55
97,北京,大连,G55064,华夏航空,A321,753,177,0,16,32,首都机场,周水子机场,3,4,6,22,25,23,55
98,北京,大连,MF1821,厦门航空,A321,869,177,0,5,58,首都机场,周水子机场,8,29,4,22,25,23,55
99,北京,大连,NZ3937,新西兰航空,B737,869,159,0,0,124,首都机场,周水子机场,4,8,1,22,25,23,55
100,北京,大连,HU7183,海南航空,B737,753,159,0,10,116,首都机场,周水子机场,5,17,5,22,50,0,20
101,北京,大连,CZ6128,南方航空,A321,463,177,0,10,128,首都机场,周水子机场,8,28,5,23,5,0,35
102,北京,大连,G55060,华夏航空,A321,695,177,0,2,144,首都机场,周水子机场,3,26,5,23,5,0,35
103,北京,大连,MF1809,厦门航空,A321,463,177,0,8,111,首都机场,周水子机场,5,16,6,23,5,0,35
104,北京,福州,CA1505,中国国航,B737,1849,159,0,4,71,首都机场,长乐机场,3,13,4,7,25,10,25
105,北京,福州,CZ5108,南方航空,B737,1513,159,0,2,38,首都机场,长乐机场,10,30,1,7,40,10,25
106,北京,福州,MF8168,厦门航空,B737,2185,159,0,12,64,首都机场,长乐机场,10,4,6,7,40,10,25
107,北京,福州,NS8168,河北航空,B737,2522,159,0,11,116,首都机场,长乐机场,2,17,1,7,40,10,25
108,北京,福州,CZ5068,南方航空,B787,1345,293,14,22,202,首都机场,长乐机场,2,6,5,11,35,14,25
109,北京,福州,MF8116,厦门航空,B787,1345,293,19,21,171,首都机场,长乐机场,1,4,1,11,35,14,25
110,北京,福州,NS8116,河北航空,B787,1681,293,20,2,214,首都机场,长乐机场,6,8,6,11,35,14,25
111,北京,福州,SC4758,山东航空,B737,1849,159,0,8,23,首都机场,长乐机场,6,16,5,12,10,15,0
112,北京,福州,MF8166,厦门航空,B757,2353,186,0,8,1,首都机场,长乐机场,11,28,2,13,25,16,20
113,北京,福州,CA1807,中国国航,B737,1513,159,0,5,69,首都机场,长乐机场,10,27,4,16,25,19,15
114,北京,福州,MF8120,厦门航空,B787,2522,293,30,1,116,首都机场,长乐机场,10,8,2,19,55,22,40
115,北京,福州,CA1821,中国国航,B737,1849,159,0,12,72,首都机场,长乐机场,6,11,3,20,35,23,25
116,北京,福州,HU7195,海南航空,B737,2353,159,0,11,27,首都机场,长乐机场,7,16,4,22,10,0,55
117,北京,福州,FU6502,福州航空,B737,1513,159,0,4,15,首都机场,长乐机场,10,9,1,23,5,1,55
118,北京,广州,CZ3166,南方航空,A320,2951,158,0,8,94,首都机场,白云机场,11,29,1,6,30,9,50
119,北京,广州,MF1062,厦门航空,A320,2164,158,0,3,38,首都机场,白云机场,3,10,0,6,30,9,50
120,北京,广州,MU5181,东方航空,A330,2951,311,3,9,8,首都机场,白云机场,9,14,4,7,20,10,40
121,北京,广州,CZ3108,南方航空,A330,1574,311,7,2,63,首都机场,白云机场,9,15,3,8,30,11,45
122,北京,广州,MF1008,厦门航空,A330,2951,311,4,0,85,首都机场,白云机场,11,3,6,8,30,11,45
123,北京,广州,MU3011,东方航空,A330,1967,311,3,10,117,首都机场,白云机场,11,24,6,8,30,11,45
124,北京,广州,CZ3000,南方航空,A380,1770,555,14,3,40,首都机场,白云机场,4,12,4,9,30,12,45
125,北京,广州,CZ3112,南方航空,A330,2164,311,19,16,168,首都机场,白云机场,9,20,5,10,30,13,55
126,北京,广州,CZ3112,南方航空,A330,1377,311,16,13,8,首都机场,白云机场,8,4,1,10,30,14,0
127,北京,广州,CZ3102,南方航空,B777,1967,311,6,30,98,首都机场,白云机场,7,30,4,12,30,15,55
128,北京,广州,CZ3102,南方航空,B777,1377,311,2,3,145,首都机场,白云机场,5,23,6,12,30,16,0
129,北京,广州,CZ3106,南方航空,A330,1770,311,34,10,217,首都机场,白云机场,8,1,4,13,30,16,55
130,北京,广州,MF1006,厦门航空,A330,2557,311,4,8,229,首都机场,白云机场,4,4,5,13,30,16,55
131,北京,广州,MU3009,东方航空,A330,2951,311,7,12,161,首都机场,白云机场,5,29,0,13,30,16,55
132,北京,广州,CZ3162,南方航空,A330,2164,311,10,16,169,首都机场,白云机场,10,13,4,14,30,17,55
133,北京,广州,CZ3162,南方航空,A330,2360,311,14,18,184,首都机场,白云机场,7,2,4,14,30,18,0
134,北京,广州,CZ3104,南方航空,A380,1967,555,33,25,102,首都机场,白云机场,8,17,2,15,30,19,0
135,北京,广州,CZ3104,南方航空,A380,2164,555,13,32,220,首都机场,白云机场,12,13,2,15,30,19,5
136,北京,广州,CZ323,南方航空,A321,2754,177,0,16,153,首都机场,T2白云机场,8,1,4,16,30,19,55
137,北京,广州,CZ323,南方航空,A321,2557,177,0,16,78,首都机场,T2白云机场,12,30,6,16,30,20,0
138,北京,广州,CZ3122,南方航空,A321,1377,177,0,5,159,首都机场,白云机场,10,31,0,17,30,20,50
139,北京,广州,CZ3122,南方航空,A321,2557,177,0,3,152,首都机场,白云机场,11,30,0,17,30,21,0
140,北京,广州,CZ3100,南方航空,A330,2951,311,14,6,241,首都机场,白云机场,12,15,0,20,30,23,55
141,北京,广州,MF1000,厦门航空,A330,1574,311,22,4,253,首都机场,白云机场,1,18,1,20,30,23,55
142,北京,广州,MU3003,东方航空,A330,1770,311,10,19,228,首都机场,白云机场,11,20,3,20,30,23,55
143,北京,贵阳,CZ3686,南方航空,B737,2855,159,0,1,119,首都机场,龙洞堡机场,11,1,1,6,45,10,10
144,北京,贵阳,MF1506,厦门航空,B737,3059,159,0,4,89,首都机场,龙洞堡机场,1,6,6,6,45,10,10
145,北京,贵阳,CA1461,中国国航,B737,2243,159,0,7,105,首都机场,龙洞堡机场,11,10,6,7,20,10,50
146,北京,贵阳,G54067,华夏航空,B737,3059,159,0,4,112,首都机场,龙洞堡机场,4,2,0,7,20,10,50
147,北京,贵阳,ZH1461,深圳航空,B737,2651,159,0,11,115,首都机场,龙洞堡机场,2,20,5,7,20,10,50
148,北京,贵阳,CZ6448,南方航空,B737,2039,159,0,9,87,首都机场,龙洞堡机场,1,31,2,8,15,11,35
149,北京,贵阳,G55119,华夏航空,B737,3059,159,0,8,66,首都机场,龙洞堡机场,8,21,5,8,15,11,35
150,北京,贵阳,MF4091,厦门航空,B737,2855,159,0,8,11,首都机场,龙洞堡机场,9,22,3,8,15,11,35
151,北京,贵阳,CZ3682,南方航空,B737,2447,159,0,1,72,首都机场,龙洞堡机场,2,22,3,9,15,12,30
152,北京,贵阳,G55036,华夏航空,B737,2039,159,0,1,94,首都机场,龙洞堡机场,6,24,4,9,15,12,30
153,北京,贵阳,MF1504,厦门航空,B737,3059,159,0,8,111,首都机场,龙洞堡机场,7,8,5,9,15,12,30
154,北京,贵阳,CA4162,中国国航,A320,2039,158,0,5,78,首都机场,龙洞堡机场,10,15,2,11,50,15,15
155,北京,贵阳,CZ3688,南方航空,B737,3059,159,0,5,141,首都机场,龙洞堡机场,7,24,3,11,50,15,20
156,北京,贵阳,CA4162,中国国航,A320,2855,158,0,6,114,首都机场,龙洞堡机场,3,26,5,11,55,15,15
157,北京,贵阳,CZ3688,南方航空,B737,3059,159,0,3,121,首都机场,龙洞堡机场,9,19,6,12,0,15,20
158,北京,贵阳,CA1463,中国国航,B737,1427,159,0,5,110,首都机场,龙洞堡机场,6,21,0,14,55,18,15
159,北京,贵阳,CZ6188,南方航空,B737,2855,159,0,4,92,首都机场,龙洞堡机场,3,22,2,15,5,18,25
160,北京,贵阳,CZ3654,南方航空,B737,2651,159,0,9,60,首都机场,龙洞堡机场,9,5,6,19,35,23,0
161,北京,贵阳,CA4166,中国国航,A320,1427,158,0,4,95,首都机场,龙洞堡机场,9,12,6,20,10,23,30
162,北京,哈尔滨,CA1621,中国国航,A320,707,158,0,6,28,首都机场,太平机场,12,13,2,6,35,8,40
163,北京,哈尔滨,NZ3943,新西兰航空,A320,1111,158,0,2,33,首都机场,太平机场,5,27,2,6,35,8,40
164,北京,哈尔滨,ZH1621,深圳航空,A320,1111,158,0,3,12,首都机场,太平机场,7,9,4,6,35,8,40
165,北京,哈尔滨,3U8303,四川航空,A319,1414,124,0,5,60,首都机场,太平机场,3,3,0,6,50,8,55
166,北京,哈尔滨,CZ6657,南方航空,A320,1010,158,0,5,36,首都机场,太平机场,8,8,4,7,10,9,10
167,北京,哈尔滨,CA1689,中国国航,B737,1212,159,0,0,146,首都机场,太平机场,1,18,1,7,30,9,35
168,北京,哈尔滨,CN7129,大新华航空,B737,1212,159,0,6,43,首都机场,太平机场,6,4,3,7,55,9,55
169,北京,哈尔滨,HU7129,海南航空,B737,808,159,0,9,19,首都机场,太平机场,7,14,6,7,55,9,55
170,北京,哈尔滨,HX1129,香港航空,B737,1313,159,0,5,20,首都机场,太平机场,7,15,5,7,55,9,55
171,北京,哈尔滨,CZ9158,南方航空,B737,707,159,0,0,123,首都机场,太平机场,8,15,4,8,15,10,15
172,北京,哈尔滨,MU2467,东方航空,B737,1414,159,0,11,137,首都机场,太平机场,6,25,3,8,15,10,15
173,北京,哈尔滨,CA1643,中国国航,JET,1212,20,0,0,4,首都机场,太平机场,9,21,4,8,50,10,55
174,北京,哈尔滨,ZH1643,深圳航空,JET,707,20,0,0,15,首都机场,太平机场,6,16,5,8,50,10,55
175,北京,哈尔滨,CZ6204,南方航空,A320,909,158,0,4,113,首都机场,太平机场,10,17,0,9,5,11,5
176,北京,哈尔滨,MF1873,厦门航空,A320,1212,158,0,7,11,首都机场,太平机场,10,22,2,9,5,11,5
177,北京,哈尔滨,MU3616,东方航空,A320,1414,158,0,0,42,首都机场,太平机场,10,1,2,9,5,11,5
178,北京,哈尔滨,CZ6267,南方航空,A320,1414,158,0,6,77,首都机场,太平机场,12,20,2,11,0,13,0
179,北京,哈尔滨,CZ6220,南方航空,A321,808,177,0,13,74,首都机场,太平机场,2,12,6,11,45,13,45
180,北京,哈尔滨,CA1623,中国国航,B737,1111,159,0,8,86,首都机场,太平机场,11,20,3,12,50,14,50
181,北京,哈尔滨,NZ3945,新西兰航空,B737,1515,159,0,10,1,首都机场,太平机场,6,12,2,12,50,14,50
182,北京,哈尔滨,CN7149,大新华航空,B737,1414,159,0,8,52,首都机场,太平机场,12,24,5,13,50,16,0
183,北京,哈尔滨,HU7149,海南航空,B737,808,159,0,10,103,首都机场,太平机场,8,31,2,13,50,16,0
184,北京,哈尔滨,HX1149,香港航空,B737,1111,159,0,7,86,首都机场,太平机场,1,6,6,13,50,16,0
185,北京,哈尔滨,MU2717,东方航空,A320,1414,158,0,0,129,首都机场,太平机场,6,16,5,14,5,16,15
186,北京,哈尔滨,CZ6208,南方航空,A320,1313,158,0,5,91,首都机场,太平机场,12,6,2,16,55,19,10
187,北京,哈尔滨,CZ6218,南方航空,A321,707,177,0,12,99,首都机场,太平机场,11,19,4,17,55,20,5
188,北京,哈尔滨,CN7127,大新华航空,B737,1010,159,0,12,17,首都机场,太平机场,10,17,0,19,5,21,5
189,北京,哈尔滨,HU7127,海南航空,B737,1010,159,0,2,63,首都机场,太平机场,11,27,3,19,5,21,5
190,北京,哈尔滨,HX1127,香港航空,B737,1010,159,0,5,92,首都机场,太平机场,12,29,0,19,5,21,5
191,北京,哈尔滨,CZ9307,南方航空,A320,909,158,0,0,141,首都机场,太平机场,7,31,3,19,40,21,40
192,北京,哈尔滨,MU5197,东方航空,A320,1111,158,0,4,144,首都机场,太平机场,3,15,2,19,40,21,40
193,北京,哈尔滨,CN7127,大新华航空,B737,707,159,0,7,57,首都机场,太平机场,4,3,6,20,5,22,5
194,北京,哈尔滨,HU7127,海南航空,B737,1212,159,0,10,143,首都机场,太平机场,5,30,6,20,5,22,5
195,北京,哈尔滨,HX1127,香港航空,B737,1010,159,0,11,87,首都机场,太平机场,3,20,4,20,5,22,5
196,北京,哈尔滨,CA1639,中国国航,B737,1212,159,0,11,7,首都机场,太平机场,8,10,2,20,10,22,15
197,北京,哈尔滨,NZ3947,新西兰航空,B737,1313,159,0,9,142,首都机场,太平机场,4,13,3,20,10,22,15
198,北京,哈尔滨,CZ6202,南方航空,A319,909,124,0,8,51,首都机场,太平机场,1,23,3,22,5,0,10
199,北京,海口,CA1361,中国国航,B737,2493,159,0,0,138,首都机场,美兰机场,5,14,1,6,20,10,25
200,北京,海口,ZH1361,深圳航空,B737,3740,159,0,1,136,首都机场,美兰机场,8,20,6,6,20,10,25
201,北京,海口,JD5395,首都航空,JET,3241,20,0,0,12,首都机场,美兰机场,4,14,2,7,15,12,30
202,北京,海口,JD5595,首都航空,A319,1994,124,0,5,50,首都机场,美兰机场,7,6,0,7,15,12,50
203,北京,海口,CZ6720,南方航空,A330,1994,311,23,18,174,首都机场,美兰机场,3,26,5,7,55,12,10
204,北京,海口,HU7682,海南航空,B737,1745,159,0,11,33,首都机场,美兰机场,10,28,3,9,15,14,50
205,北京,海口,CZ3120,南方航空,A321,3490,177,0,11,157,首都机场,美兰机场,5,12,3,13,20,17,25
206,北京,海口,MU5161,东方航空,A321,2992,177,0,0,53,首都机场,美兰机场,9,25,0,13,55,18,5
207,北京,海口,CZ6366,南方航空,A321,2244,177,0,3,78,首都机场,美兰机场,2,15,3,15,5,19,15
208,北京,海口,HU7776,海南航空,B737,2244,159,0,6,119,首都机场,美兰机场,7,29,5,19,5,0,40
209,北京,海口,CZ6158,南方航空,A321,3490,177,0,5,92,首都机场,美兰机场,6,9,5,20,40,0,45
210,北京,海口,MF1837,厦门航空,A321,2992,177,0,8,23,首都机场,美兰机场,1,4,1,20,40,0,45
211,北京,杭州,GJ8888,长龙航空,A320,840,158,0,5,87,首都机场,萧山机场,5,22,0,6,30,8,45
212,北京,杭州,FM9158,上海航空,B737,1320,159,0,1,119,首都机场,萧山机场,3,30,1,6,40,9,5
213,北京,杭州,MU9158,东方航空,B737,960,159,0,11,86,首都机场,萧山机场,5,24,5,6,40,9,5
214,北京,杭州,CA1565,中国国航,A319,1320,124,0,2,3,首都机场,萧山机场,9,15,3,6,45,8,55
215,北京,杭州,CA1565,中国国航,A319,840,124,0,3,40,首都机场,萧山机场,3,5,5,6,45,8,55
216,北京,杭州,ZH1565,深圳航空,A319,1680,124,0,2,73,首都机场,萧山机场,8,20,6,6,45,8,55
217,北京,杭州,ZH1565,深圳航空,A319,1440,124,0,0,66,首都机场,萧山机场,6,11,3,6,45,8,55
218,北京,杭州,FM9158,上海航空,B737,960,159,0,4,103,首都机场,萧山机场,5,5,3,6,50,9,5
219,北京,杭州,MU9158,东方航空,B737,1080,159,0,0,126,首都机场,萧山机场,8,29,4,6,50,9,5
220,北京,杭州,FM9158,上海航空,B737,1080,159,0,4,29,首都机场,萧山机场,12,2,6,6,55,9,5
221,北京,杭州,MU9158,东方航空,B737,1200,159,0,11,126,首都机场,萧山机场,10,1,2,6,55,9,5
222,北京,杭州,GJ8888,长龙航空,A320,960,158,0,8,18,首都机场,萧山机场,10,31,0,7,30,9,45
223,北京,杭州,CA1509,中国国航,A321,1080,177,0,9,5,首都机场,萧山机场,12,28,1,7,50,10,0
224,北京,杭州,HA3814,夏威夷航空,A321,1800,177,0,10,131,首都机场,萧山机场,12,18,4,7,50,10,0
225,北京,杭州,ZH1509,深圳航空,A321,1080,177,0,6,4,首都机场,萧山机场,4,27,3,7,50,10,0
226,北京,杭州,HU7677,海南航空,B737,1080,159,0,2,66,首都机场,萧山机场,1,28,5,8,10,10,20
227,北京,杭州,CA1702,中国国航,A321,1800,177,0,0,155,首都机场,萧山机场,8,6,6,10,50,13,5
228,北京,杭州,ZH1702,深圳航空,A321,1440,177,0,5,104,首都机场,萧山机场,6,9,5,10,50,13,5
229,北京,杭州,CA1702,中国国航,A321,1800,177,0,7,16,首都机场,萧山机场,3,18,6,11,10,13,20
230,北京,杭州,CA1712,中国国航,JET,840,20,0,0,2,首都机场,萧山机场,10,15,2,12,45,14,55
231,北京,杭州,ZH1712,深圳航空,JET,1800,20,0,0,19,首都机场,萧山机场,5,12,3,12,45,14,55
232,北京,杭州,FM9152,上海航空,B737,1320,159,0,7,76,首都机场,萧山机场,10,20,4,14,0,16,15
233,北京,杭州,MU9152,东方航空,B737,1440,159,0,3,45,首都机场,萧山机场,12,6,2,14,0,16,15
234,北京,杭州,CA1716,中国国航,A321,1800,177,0,13,24,首都机场,萧山机场,2,19,6,14,30,16,40
235,北京,杭州,ZH1716,深圳航空,A321,1080,177,0,14,86,首都机场,萧山机场,7,22,5,14,30,16,40
236,北京,杭州,CZ9433,南方航空,A320,1200,158,0,8,85,首都机场,萧山机场,3,30,1,18,10,20,20
